Metric,Baseline,RHG,Duopoly,Better Method
Peak Load (kW),44.4970540994762,34.8956821161581,26.723541071560103,Duopoly
Valley Load (kW),13.172823931937,13.5634080065169,20.53291103610139,Duopoly
Mean Load (kW),23.559103238383262,23.102939142139608,23.374361823430803,Duopoly
Std Dev (kW),7.141617349126571,6.091308887588454,1.8772365222976974,Duopoly
Avg Ramp (kW/step),1.3972461390038646,0.32545954181008224,0.08942186560619268,Duopoly
Total Energy (kWh),1130.8369554423966,1108.9410788227012,1121.9693675246785,Duopoly
Peak Reduction (kW),0.0,9.601371983318103,17.7735130279161,Duopoly
Peak Reduction (%),0.0,21.57754525019472,39.94312294962762,Duopoly
Valley Filling (kW),0.0,0.3905840745799001,7.360087104164389,Duopoly
Valley Filling (%),0.0,2.965074737186338,55.87326713082488,Duopoly
Std Reduction (%),0.0,14.706871149664316,73.71412621922,Duopoly
Ramp Reduction (%),0.0,76.70707166583324,93.60013507212524,Duopoly
Energy Gap (%),0.0,-1.936254073968557,-0.7841614898629643,Duopoly
